,1e-15,1e-14,1e-13,1e-12,1e-11,1e-10
378,80.37947,236.88327,672.61664,789.35986,789.3805,789.37695
379,80.474724,237.18698,673.1399,789.35986,789.37933,789.40356
380,80.56998,237.49031,673.661,789.35986,789.3803,789.3918
381,80.66524,237.79327,674.17944,789.35986,789.3804,789.3987
382,80.7605,238.09586,674.69586,789.35986,789.3801,789.3758
383,80.85575,238.39801,675.20984,789.35986,789.3802,789.4061
384,80.95101,238.69978,675.7215,789.35986,789.3807,789.3873
385,81.046265,239.00122,676.23096,789.35986,789.37976,789.38306
386,81.140205,239.30225,676.738,789.35986,789.3801,789.38477
387,81.23412,239.60289,677.243,789.35986,789.37946,789.3949
388,81.32804,239.90314,677.7456,789.35986,789.3793,789.3778
389,81.42196,240.203,678.2459,789.35986,789.3799,789.3879
390,81.51587,240.5025,678.744,789.35986,789.3806,789.3806
391,81.60979,240.80164,679.23987,789.35986,789.38086,789.38605
392,81.703705,241.1004,679.7336,789.35986,789.38025,789.3759
393,81.79762,241.39879,680.225,789.35986,789.38086,789.38293
394,81.89154,241.69678,680.7143,789.35986,789.37994,789.37866
395,81.98545,241.99443,681.2014,789.35986,789.38055,789.40594
396,82.07937,242.2917,681.6863,789.35986,789.3801,789.3952
397,82.17203,242.58862,682.16907,789.35986,789.3797,789.3676
398,82.264656,242.88518,682.64966,789.35986,789.37933,789.3707
399,82.35729,243.18132,683.1281,789.35986,789.3797,789.3943
400,82.44992,243.47711,683.6043,789.35986,789.3798,789.3894
401,82.54255,243.77257,684.0785,789.35986,789.3797,789.4064
402,82.635185,244.06766,684.5505,789.35986,789.3792,789.38684
403,82.72781,244.3624,685.0204,789.35986,789.3795,789.39886
404,82.82045,244.65678,685.4882,789.35986,789.38055,789.37695
405,82.91308,244.95082,685.95386,789.35986,789.38025,789.4079
406,83.005714,245.2445,686.41754,789.35986,789.3801,789.3851
407,83.09834,245.53777,686.879,789.35986,789.37994,789.39545
408,83.18976,245.83081,687.33856,789.35986,789.38043,789.3938
409,83.28116,246.12338,687.79584,789.35986,789.37964,789.40643
410,83.37255,246.4156,688.25134,789.35986,789.37976,789.4016
411,83.46395,246.70753,688.7047,789.35986,789.3795,789.40485
412,83.55534,246.9991,689.15607,789.35986,789.3806,789.39386
413,83.64674,247.2903,689.6052,789.35986,789.38007,789.3833
414,83.73814,247.58115,690.0525,789.35986,789.38055,789.3608
415,83.82953,247.87167,690.49786,789.35986,789.3803,789.4144
416,83.92093,248.1619,690.94116,789.35986,789.3805,789.3839
417,84.01232,248.45177,691.3825,789.35986,789.37976,789.3884
418,84.103714,248.74127,691.82184,789.35986,789.38025,789.423
419,84.19395,249.0305,692.25916,789.35986,789.38086,789.3898
420,84.28416,249.31929,692.6946,789.35986,789.38025,789.41235
421,84.37437,249.60776,693.12805,789.35986,789.3798,789.38794
422,84.46458,249.8959,693.5596,789.35986,789.3795,789.4053
423,84.55479,250.18373,693.9892,789.35986,789.3799,789.37244
424,84.64499,250.47122,694.4169,789.35986,789.3795,789.3857
425,84.7352,250.75839,694.8426,789.35986,789.3803,789.39233
426,84.82541,251.04524,695.2664,789.35986,789.3806,789.39874
427,84.91562,251.33177,695.68835,789.35986,789.38055,789.4003
428,85.00582,251.61797,696.1084,789.35986,789.3807,789.3916
429,85.09603,251.90385,696.5266,789.35986,789.38086,789.4014
430,85.18512,252.18939,696.943,789.35986,789.38,789.3972
431,85.274185,252.47456,697.35736,789.35986,789.37976,789.3752
432,85.36324,252.75945,697.7699,789.35986,789.3798,789.40027
433,85.45231,253.044,698.18066,789.35986,789.37976,789.4341
434,85.541374,253.32822,698.5896,789.35986,789.37976,789.38275
