,1e-15,1e-14,1e-13,1e-12,1e-11,1e-10
322,74.74811,219.1525,639.0558,789.3778,789.3779,789.3779
323,74.84886,219.4728,639.6784,789.3778,789.3779,789.3779
324,74.949615,219.79308,640.301,789.3778,789.3779,789.3779
325,75.05037,220.11337,640.92365,789.3778,789.3779,789.3779
326,75.15112,220.43367,641.54626,789.3778,789.3779,789.3779
327,75.25187,220.75395,642.1689,789.3778,789.3779,789.3779
328,75.35262,221.07425,642.7915,789.3778,789.3779,789.3779
329,75.45338,221.39455,643.4141,789.3778,789.3779,789.3779
330,75.55413,221.71484,644.03674,789.37787,789.3779,789.3779
331,75.654884,222.03514,644.65936,789.37787,789.3779,789.3779
332,75.75564,222.35544,645.282,789.37787,789.3779,789.3779
333,75.85639,222.67574,645.9046,789.37787,789.3779,789.3779
334,75.95714,222.99602,646.52716,789.37787,789.3779,789.3779
335,76.05789,223.31631,647.14984,789.37787,789.3779,789.3779
336,76.158646,223.63661,647.77246,789.37787,789.3779,789.3779
337,76.2594,223.95691,648.3951,789.37787,789.3779,789.3779
338,76.36015,224.27719,649.01764,789.37787,789.3779,789.3779
339,76.46091,224.5975,649.64026,789.37787,789.3779,789.3779
340,76.56166,224.9178,650.26294,789.37787,789.3779,789.3779
341,76.66241,225.23808,650.8855,789.37787,789.3779,789.3779
342,76.76316,225.55838,651.5081,789.37787,789.3779,789.3779
343,76.863914,225.87868,652.13074,789.37787,789.3779,789.3779
344,76.96467,226.19897,652.75336,789.37787,789.3779,789.3779
345,77.06542,226.51926,653.376,789.37787,789.3779,789.3779
346,77.166176,226.83955,653.9986,789.37787,789.3779,789.3779
347,77.26693,227.15985,654.6212,789.37787,789.3779,789.3779
348,77.367676,227.48015,655.24384,789.37787,789.3779,789.3779
349,77.46843,227.80045,655.86646,789.37787,789.3779,789.3779
350,77.56918,228.12074,656.4891,789.3779,789.3779,789.3779
351,77.66994,228.44102,657.1117,789.3779,789.3779,789.3779
352,77.77069,228.76132,657.7343,789.3779,789.3779,789.3779
353,77.871445,229.08162,658.35693,789.3779,789.3779,789.3779
354,77.9722,229.40192,658.97955,789.3779,789.3779,789.3779
355,78.072945,229.7222,659.6022,789.3779,789.3779,789.3779
356,78.1737,230.04251,660.2248,789.3779,789.3779,789.3779
357,78.27445,230.36281,660.8474,789.3779,789.3779,789.3779
358,78.375206,230.68309,661.47003,789.3779,789.3779,789.3779
359,78.47596,231.00339,662.09265,789.3779,789.3779,789.3779
360,78.576614,231.32338,662.7134,789.3779,789.3779,789.3779
361,78.671936,231.62665,663.23376,789.3779,789.3779,789.3779
362,78.76726,231.9299,663.754,789.3779,789.3779,789.3779
363,78.86259,232.23318,664.27435,789.3779,789.3779,789.3779
364,78.95791,232.53645,664.7947,789.3779,789.3779,789.3779
365,79.05323,232.8397,665.315,789.3779,789.3779,789.3779
366,79.14855,233.14297,665.8353,789.3779,789.3779,789.3779
367,79.24388,233.44624,666.35565,789.3779,789.3779,789.3779
368,79.3392,233.74953,666.876,789.3779,789.3779,789.3779
369,79.434525,234.05278,667.3963,789.3779,789.3779,789.3779
370,79.52985,234.35605,667.9166,789.3779,789.3779,789.3779
371,79.625175,234.65932,668.43695,789.3779,789.3779,789.3779
372,79.7205,234.96259,668.9573,789.3779,789.3779,789.3779
373,79.81582,235.26585,669.4776,789.3779,789.3779,789.3779
374,79.91114,235.56912,669.9979,789.3779,789.3779,789.3779
375,80.00647,235.87239,670.51825,789.3779,789.3779,789.3779
376,80.10179,236.17566,671.0386,789.3779,789.3779,789.3779
377,80.19711,236.47893,671.5589,789.3779,789.3779,789.3779
378,80.29244,236.7822,672.0792,789.3779,789.3779,789.3779
379,80.38776,237.08545,672.5995,789.3779,789.3779,789.3779
380,80.483086,237.38873,673.1198,789.3779,789.3779,789.3779
381,80.57841,237.692,673.64014,789.3779,789.3779,789.3779
382,80.67374,237.99527,674.1605,789.3779,789.3779,789.3779
383,80.76906,238.29852,674.6808,789.3779,789.3779,789.3779
384,80.86438,238.60179,675.2011,789.3779,789.3779,789.3779
385,80.9597,238.90508,675.72144,789.3779,789.3779,789.3779
386,81.05502,239.20833,676.24176,789.3779,789.3779,789.3779
387,81.15035,239.5116,676.7621,789.3779,789.3779,789.3779
388,81.245674,239.81487,677.2824,789.3779,789.3779,789.3779
389,81.340996,240.11813,677.80273,789.3779,789.3779,789.3779
390,81.43632,240.4214,678.32306,789.3779,789.3779,789.3779
391,81.53165,240.72467,678.8434,789.3779,789.3779,789.3779
392,81.62697,241.02794,679.3637,789.3779,789.3779,789.3779
393,81.72229,241.3312,679.88403,789.3779,789.3779,789.3779
394,81.81761,241.63448,680.40436,789.3779,789.3779,789.3779
395,81.91294,241.93774,680.9247,789.3779,789.3779,789.3779
396,82.00826,242.241,681.445,789.3779,789.3779,789.3779
397,82.103584,242.54428,681.96533,789.3779,789.3779,789.3779
398,82.198906,242.84755,682.48566,789.3779,789.3779,789.3779
399,82.294235,243.15082,683.006,789.3779,789.3779,789.3779
400,82.389465,243.45378,683.52454,789.3779,789.3779,789.3779
401,82.48015,243.74255,683.9594,789.3779,789.3779,789.3779
402,82.57083,244.03131,684.3942,789.3779,789.3779,789.3779
403,82.661514,244.32007,684.8291,789.3779,789.3779,789.3779
404,82.752205,244.60883,685.2639,789.3779,789.3779,789.3779
405,82.84289,244.8976,685.6988,789.3779,789.3779,789.3779
406,82.93357,245.18636,686.1336,789.3779,789.3779,789.3779
407,83.024254,245.47511,686.5684,789.3779,789.3779,789.3779
408,83.114944,245.76387,687.0033,789.3779,789.3779,789.3779
409,83.20563,246.05264,687.4381,789.3779,789.3779,789.3779
410,83.29631,246.34138,687.873,789.3779,789.3779,789.3779
411,83.38699,246.63016,688.3078,789.3779,789.3779,789.3779
412,83.477684,246.91891,688.7427,789.3779,789.3779,789.3779
413,83.56837,247.20769,689.1775,789.3779,789.3779,789.3779
414,83.65905,247.49643,689.6123,789.3779,789.3779,789.3779
415,83.74973,247.7852,690.0472,789.3779,789.3779,789.3779
416,83.84042,248.07396,690.482,789.3779,789.3779,789.3779
417,83.93111,248.36272,690.9169,789.3779,789.3779,789.3779
418,84.02179,248.65147,691.3517,789.3779,789.3779,789.3779
419,84.11247,248.94025,691.78656,789.3779,789.3779,789.3779
420,84.20316,249.229,692.2214,789.3779,789.3779,789.3779
421,84.293846,249.51776,692.6562,789.3779,789.3779,789.3779
